start_time,personId,dwell_time,end_time,FPS,
11-22-2022-13-17-55,4,159 Sec,11-22-2022-13-17-55,FPS: 1.39,221
11-22-2022-13-17-55,4,159 Sec,11-22-2022-13-17-56,FPS: 1.39,222
11-22-2022-13-17-56,4,160 Sec,11-22-2022-13-17-57,FPS: 1.39,223
11-22-2022-13-17-57,4,161 Sec,11-22-2022-13-17-57,FPS: 1.40,224
11-22-2022-13-17-57,4,161 Sec,11-22-2022-13-17-58,FPS: 1.40,225
11-22-2022-13-17-58,4,162 Sec,11-22-2022-13-17-58,FPS: 1.39,226
11-22-2022-13-17-58,4,163 Sec,11-22-2022-13-17-59,FPS: 1.40,227
11-22-2022-13-17-59,4,163 Sec,11-22-2022-13-18-00,FPS: 1.40,228
11-22-2022-13-18-00,4,164 Sec,11-22-2022-13-18-00,FPS: 1.39,229
11-22-2022-13-18-00,4,165 Sec,11-22-2022-13-18-01,FPS: 1.40,230
11-22-2022-13-18-01,4,165 Sec,11-22-2022-13-18-02,FPS: 1.40,231
11-22-2022-13-18-02,4,166 Sec,11-22-2022-13-18-02,FPS: 1.40,232
11-22-2022-13-18-02,4,167 Sec,11-22-2022-13-18-03,FPS: 1.40,233
11-22-2022-13-18-03,4,167 Sec,11-22-2022-13-18-04,FPS: 1.40,234
11-22-2022-13-18-04,4,168 Sec,11-22-2022-13-18-04,FPS: 1.40,235
11-22-2022-13-18-04,4,168 Sec,11-22-2022-13-18-05,FPS: 1.40,236
11-22-2022-13-18-05,4,169 Sec,11-22-2022-13-18-06,FPS: 1.40,237
11-22-2022-13-18-06,4,170 Sec,11-22-2022-13-18-06,FPS: 1.40,238
11-22-2022-13-18-06,4,170 Sec,11-22-2022-13-18-07,FPS: 1.40,239
11-22-2022-13-18-07,4,171 Sec,11-22-2022-13-18-08,FPS: 1.40,240
11-22-2022-13-18-08,4,172 Sec,11-22-2022-13-18-08,FPS: 1.40,241
11-22-2022-13-18-08,4,172 Sec,11-22-2022-13-18-09,FPS: 1.40,242
11-22-2022-13-18-09,4,173 Sec,11-22-2022-13-18-10,FPS: 1.40,243
11-22-2022-13-18-10,4,174 Sec,11-22-2022-13-18-10,FPS: 1.40,244
11-22-2022-13-18-10,4,174 Sec,11-22-2022-13-18-11,FPS: 1.41,245
11-22-2022-13-18-11,4,175 Sec,11-22-2022-13-18-12,FPS: 1.40,246
11-22-2022-13-18-12,4,176 Sec,11-22-2022-13-18-12,FPS: 1.40,247
11-22-2022-13-18-12,4,176 Sec,11-22-2022-13-18-13,FPS: 1.41,248
11-22-2022-13-18-13,4,177 Sec,11-22-2022-13-18-14,FPS: 1.40,249
11-22-2022-13-18-14,4,178 Sec,11-22-2022-13-18-14,FPS: 1.40,250
11-22-2022-13-18-14,4,178 Sec,11-22-2022-13-18-15,FPS: 1.41,251
11-22-2022-13-18-15,4,179 Sec,11-22-2022-13-18-16,FPS: 1.41,252
11-22-2022-13-18-16,4,180 Sec,11-22-2022-13-18-16,FPS: 1.40,253
11-22-2022-13-18-16,4,180 Sec,11-22-2022-13-18-17,FPS: 1.41,254
11-22-2022-13-18-17,4,181 Sec,11-22-2022-13-18-18,FPS: 1.41,255
11-22-2022-13-18-18,4,182 Sec,11-22-2022-13-18-18,FPS: 1.40,256
11-22-2022-13-18-18,4,182 Sec,11-22-2022-13-18-19,FPS: 1.41,257
11-22-2022-13-18-19,4,183 Sec,11-22-2022-13-18-19,FPS: 1.41,258
11-22-2022-13-18-19,4,184 Sec,11-22-2022-13-18-20,FPS: 1.41,259
11-22-2022-13-18-20,4,184 Sec,11-22-2022-13-18-21,FPS: 1.41,260
11-22-2022-13-18-21,4,185 Sec,11-22-2022-13-18-21,FPS: 1.41,261
11-22-2022-13-18-21,4,186 Sec,11-22-2022-13-18-22,FPS: 1.41,262
11-22-2022-13-18-22,4,186 Sec,11-22-2022-13-18-23,FPS: 1.41,263
11-22-2022-13-18-23,4,187 Sec,11-22-2022-13-18-24,FPS: 1.41,264
11-22-2022-13-18-24,4,188 Sec,11-22-2022-13-18-24,FPS: 1.41,265
11-22-2022-13-18-24,4,189 Sec,11-22-2022-13-18-25,FPS: 1.41,266
11-22-2022-13-18-25,4,189 Sec,11-22-2022-13-18-26,FPS: 1.41,267
11-22-2022-13-18-26,4,190 Sec,11-22-2022-13-18-27,FPS: 1.41,268
11-22-2022-13-18-27,4,191 Sec,11-22-2022-13-18-28,FPS: 1.41,269
11-22-2022-13-18-28,4,192 Sec,11-22-2022-13-18-28,FPS: 1.40,270
11-22-2022-13-18-28,4,193 Sec,11-22-2022-13-18-29,FPS: 1.40,271
11-22-2022-13-18-29,4,193 Sec,11-22-2022-13-18-30,FPS: 1.41,272
11-22-2022-13-18-30,4,194 Sec,11-22-2022-13-18-31,FPS: 1.41,273
11-22-2022-13-18-31,4,195 Sec,11-22-2022-13-18-32,FPS: 1.40,274
11-22-2022-13-18-32,4,196 Sec,11-22-2022-13-18-32,FPS: 1.40,275
11-22-2022-13-18-32,4,197 Sec,11-22-2022-13-18-33,FPS: 1.40,276
11-22-2022-13-18-33,4,198 Sec,11-22-2022-13-18-34,FPS: 1.40,277
11-22-2022-13-18-34,4,198 Sec,11-22-2022-13-18-35,FPS: 1.40,278
11-22-2022-13-18-35,4,199 Sec,11-22-2022-13-18-36,FPS: 1.40,279
11-22-2022-13-18-36,4,200 Sec,11-22-2022-13-18-36,FPS: 1.40,280
11-22-2022-13-18-36,4,201 Sec,11-22-2022-13-18-37,FPS: 1.40,281
11-22-2022-13-18-37,4,201 Sec,11-22-2022-13-18-38,FPS: 1.40,282
11-22-2022-13-18-38,4,202 Sec,11-22-2022-13-18-39,FPS: 1.40,283
11-22-2022-13-18-39,4,203 Sec,11-22-2022-13-18-40,FPS: 1.40,284
11-22-2022-13-18-40,6,0 Sec,11-22-2022-13-18-40,FPS: 1.40,0
11-22-2022-13-18-40,6,0 Sec,11-22-2022-13-18-41,FPS: 1.40,1
11-22-2022-13-18-41,6,2 Sec,11-22-2022-13-18-42,FPS: 1.39,2
11-22-2022-13-18-42,6,14 Sec,11-22-2022-13-18-55,FPS: 1.31,3
11-22-2022-13-18-55,6,22 Sec,11-22-2022-13-19-03,FPS: 1.28,4
11-22-2022-13-19-03,6,24 Sec,11-22-2022-13-19-05,FPS: 1.27,5
11-22-2022-13-19-05,6,25 Sec,11-22-2022-13-19-06,FPS: 1.27,6
11-22-2022-13-19-06,6,26 Sec,11-22-2022-13-19-07,FPS: 1.27,7
11-22-2022-13-19-07,6,27 Sec,11-22-2022-13-19-08,FPS: 1.27,8
11-22-2022-13-19-08,6,28 Sec,11-22-2022-13-19-09,FPS: 1.27,9
11-22-2022-13-19-09,6,28 Sec,11-22-2022-13-19-09,FPS: 1.26,10
11-22-2022-13-19-09,6,29 Sec,11-22-2022-13-19-10,FPS: 1.27,11
11-22-2022-13-19-10,6,30 Sec,11-22-2022-13-19-11,FPS: 1.27,12
11-22-2022-13-19-11,6,30 Sec,11-22-2022-13-19-11,FPS: 1.27,13
11-22-2022-13-19-11,6,31 Sec,11-22-2022-13-19-12,FPS: 1.27,14
11-22-2022-13-19-12,6,32 Sec,11-22-2022-13-19-13,FPS: 1.27,15
11-22-2022-13-19-13,6,32 Sec,11-22-2022-13-19-13,FPS: 1.27,16
11-22-2022-13-19-13,6,33 Sec,11-22-2022-13-19-14,FPS: 1.27,17
11-22-2022-13-19-14,6,34 Sec,11-22-2022-13-19-15,FPS: 1.27,18
11-22-2022-13-19-15,6,34 Sec,11-22-2022-13-19-15,FPS: 1.27,19
